Ticker,Sector,Entry,EntryRaw,Score,Close,MktCap_KRW_T,Avg$Vol,VolRatio,RSI,ATR%,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,RR,EV,Prob,Shares,PosValue,MktPref,P,Promoted
AEE,Utilities,BUY_BREAKOUT,BUY_BREAKOUT,52,110.97,41.9,198387833,1.62,80.0,1.76,20D High 110.50 돌파 + Vol 1.62x (기준 1.5x),110.97 위에서 분할(돌파 유지 시),SMA50(101.68) 이탈 또는 Stop 107.05,"20D high 근접, Vol 1.6x, MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,110.97,107.05,118.8,2.0,1.51,0.84,105.0,11652.0,0,0,False
GRMN,Technology,BUY_BREAKOUT,BUY_BREAKOUT,70,214.74,58.7,204627608,1.56,57.3,2.9,20D High 214.46 돌파 + Vol 1.56x (기준 1.5x),214.74 위에서 분할(돌파 유지 시),SMA50(205.95) 이탈 또는 Stop 202.29,"20D high 근접, Vol 1.6x, MACD 완만개선, RSI 57",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | ✅ 50~100조 선호,214.74,202.29,239.39,1.98,1.7,0.91,33.0,7086.0,1,0,False
ETR,Utilities,BUY_BREAKOUT,BUY_BREAKOUT,64,105.07,65.2,291937081,2.08,87.9,2.15,20D High 102.94 돌파 + Vol 2.08x (기준 1.5x),105.07 위에서 분할(돌파 유지 시),SMA50(94.73) 이탈 또는 Stop 100.56,"20D high 근접, Vol 2.1x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | ✅ 50~100조 선호,105.07,100.56,113.98,1.98,1.64,0.88,92.0,9666.0,1,0,False
FLS,Industrials,BUY_BREAKOUT,BUY_BREAKOUT,52,89.69,16.7,135709868,1.93,86.7,3.28,20D High 89.25 돌파 + Vol 1.93x (기준 1.5x),89.69 위에서 분할(돌파 유지 시),SMA50(75.45) 이탈 또는 Stop 83.81,"20D high 근접, Vol 1.9x, MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,89.69,83.81,101.32,1.98,1.61,0.87,70.0,6278.0,0,0,False
NRG,Utilities,BUY_BREAKOUT,BUY_BREAKOUT,62,172.35,49.4,325187230,1.58,71.3,4.01,20D High 166.25 돌파 + Vol 1.58x (기준 1.5x),172.35 위에서 분할(돌파 유지 시),SMA50(156.68) 이탈 또는 Stop 158.53,"20D high 근접, Vol 1.6x, MACD 완만개선, RSI 71",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,172.35,158.53,199.51,1.96,1.64,0.89,30.0,5171.0,0,0,False
AKAM,Technology,BUY_BREAKOUT,BUY_BREAKOUT,37,111.76,19.9,416687973,1.74,67.1,4.24,20D High 106.80 돌파 + Vol 1.74x (기준 1.5x),111.76 위에서 분할(돌파 유지 시),SMA50(91.34) 이탈 또는 Stop 102.28,"Vol 1.7x, MACD 완만개선, RSI 67",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,111.76,102.28,130.35,1.96,1.54,0.86,43.0,4806.0,0,0,False
FSLY,Technology,BUY_BREAKOUT,BUY_BREAKOUT,31,18.26,2.0,180266903,4.41,82.3,7.5,20D High 17.86 돌파 + Vol 4.41x (기준 1.5x),18.26 위에서 분할(돌파 유지 시),SMA50(10.12) 이탈 또는 Stop 15.52,"Vol 4.4x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,18.26,15.52,23.5,1.91,1.3,0.79,151.0,2757.0,0,0,False
LIN,Basic Materials,BUY_BREAKOUT,BUY_BREAKOUT,37,481.0,316.1,1287117016,1.57,65.6,2.11,20D High 477.55 돌파 + Vol 1.57x (기준 1.5x),481.00 위에서 분할(돌파 유지 시),SMA50(435.89) 이탈 또는 Stop 460.75,"Vol 1.6x, MACD 완만개선, RSI 66",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,481.0,460.75,519.37,1.89,1.41,0.83,20.0,9620.0,0,0,False
PSA,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,59,300.35,77.2,359270215,1.48,69.0,2.33,트리거: 297.21 상향 돌파(20D High),297.21 돌파+거래량 동반 시,SMA50(275.43) 이탈 또는 Stop 286.32,"20D high 근접, Vol 1.5x (약), MACD 완만개선, RSI 69",,현재 Vol 1.48x | ✅ 50~100조 선호,,,,,-0.14,0.86,,,1,3,False
COST,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,52,1018.48,650.7,2472265552,1.05,61.6,2.24,트리거: 1009.62 상향 돌파(20D High),1009.62 돌파+거래량 동반 시,SMA50(923.22) 이탈 또는 Stop 972.87,"20D high 근접, MACD 상향크로스, RSI 62",CROSS_UP,현재 Vol 1.05x,,,,,-0.15,0.85,,,0,3,False
AZO,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,51,3858.16,89.6,604259215,0.65,55.2,2.66,트리거: 3844.64 상향 돌파(20D High),3844.64 돌파+거래량 동반 시,SMA50(3561.10) 이탈 또는 Stop 3653.11,"20D high 근접, MACD 완만개선, RSI 55",,현재 Vol 0.65x | ✅ 50~100조 선호,,,,,-0.19,0.81,,,1,3,False
CCI,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,51,90.38,57.6,344950046,0.81,55.5,3.48,트리거: 91.25 상향 돌파(20D High),91.25 돌파+거래량 동반 시,SMA50(87.22) 이탈 또는 Stop 84.09,"20D high 근접, MACD 완만개선, RSI 56",,현재 Vol 0.81x | ✅ 50~100조 선호,,,,,-0.19,0.81,,,1,3,False
MPLX,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,51,56.83,83.4,111842750,1.17,63.0,2.04,트리거: 57.16 상향 돌파(20D High),57.16 돌파+거래량 동반 시,SMA50(54.79) 이탈 또는 Stop 54.51,"20D high 근접, MACD 완만개선, RSI 63",,현재 Vol 1.17x | ✅ 50~100조 선호,,,,,-0.18,0.82,,,1,3,False
REGN,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,43,803.17,116.8,675042212,1.1,61.4,3.11,트리거: 796.72 상향 돌파(20D High),796.72 돌파+거래량 동반 시,SMA50(759.85) 이탈 또는 Stop 753.22,"20D high 근접, MACD 완만개선, RSI 61",,현재 Vol 1.10x,,,,,-0.18,0.82,,,0,3,False
AMT,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,43,192.1,131.7,627374333,0.97,64.1,2.85,트리거: 190.34 상향 돌파(20D High),190.34 돌파+거래량 동반 시,SMA50(177.24) 이탈 또는 Stop 181.14,"20D high 근접, MACD 완만개선, RSI 64",,현재 Vol 0.97x,,,,,-0.19,0.81,,,0,3,False
DG,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,43,153.84,47.1,429867109,1.01,55.6,2.84,트리거: 152.74 상향 돌파(20D High),152.74 돌파+거래량 동반 시,SMA50(140.60) 이탈 또는 Stop 145.10,"20D high 근접, MACD 완만개선, RSI 56",,현재 Vol 1.01x,,,,,-0.19,0.81,,,0,3,False
ADM,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,43,69.51,48.3,278293166,0.74,60.6,3.08,트리거: 70.09 상향 돌파(20D High),70.09 돌파+거래량 동반 시,SMA50(62.75) 이탈 또는 Stop 65.23,"20D high 근접, MACD 완만개선, RSI 61",,현재 Vol 0.74x,,,,,-0.19,0.81,,,0,3,False
EXAS,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,43,103.24,28.7,245791357,0.89,67.1,0.34,트리거: 103.54 상향 돌파(20D High),103.54 돌파+거래량 동반 시,SMA50(102.06) 이탈 또는 Stop 102.53,"20D high 근접, MACD 완만개선, RSI 67",,현재 Vol 0.89x,,,,,-0.25,0.75,,,0,3,False
AVY,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,43,195.8,21.6,129143713,0.76,66.8,2.07,트리거: 197.54 상향 돌파(20D High),197.54 돌파+거래량 동반 시,SMA50(184.77) 이탈 또는 Stop 187.68,"20D high 근접, MACD 완만개선, RSI 67",,현재 Vol 0.76x,,,,,-0.23,0.77,,,0,3,False
SEE,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,43,41.93,9.0,117590401,0.87,63.0,0.23,트리거: 42.00 상향 돌파(20D High),42.00 돌파+거래량 동반 시,SMA50(41.70) 이탈 또는 Stop 41.73,"20D high 근접, MACD 완만개선, RSI 63",,현재 Vol 0.87x,,,,,-0.22,0.78,,,0,3,False
EOG,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,41,120.73,90.9,594536489,0.91,73.4,2.79,트리거: 118.67 상향 돌파(20D High),118.67 돌파+거래량 동반 시,SMA50(108.49) 이탈 또는 Stop 114.00,"20D high 근접, MACD 완만개선",,현재 Vol 0.91x | ✅ 50~100조 선호,,,,,-0.3,0.7,,,1,3,False
KMI,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,41,32.32,99.3,485017770,0.87,78.3,2.1,트리거: 31.99 상향 돌파(20D High),31.99 돌파+거래량 동반 시,SMA50(28.32) 이탈 또는 Stop 30.97,"20D high 근접, MACD 완만개선",,현재 Vol 0.87x | ✅ 50~100조 선호,,,,,-0.33,0.67,,,1,3,False
ZBH,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,33,96.45,26.5,215156453,0.81,79.7,2.83,트리거: 97.22 상향 돌파(20D High),97.22 돌파+거래량 동반 시,SMA50(90.36) 이탈 또는 Stop 90.99,"20D high 근접, MACD 완만개선",,현재 Vol 0.81x,,,,,-0.32,0.68,,,0,3,False
IR,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,31,98.52,57.0,519739996,1.25,68.5,3.59,트리거: 100.00 상향 돌파(20D High),100.00 돌파+거래량 동반 시,SMA50(85.61) 이탈 또는 Stop 91.44,"Vol 1.2x (약), RSI 68",,현재 Vol 1.25x | ✅ 50~100조 선호,,,,,-0.25,0.75,,,1,3,False
TTC,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,30,100.09,14.3,79723060,0.82,89.2,2.12,트리거: 101.08 상향 돌파(20D High),101.08 돌파+거래량 동반 시,SMA50(84.93) 이탈 또는 Stop 95.84,20D high 근접,,현재 Vol 0.82x,,,,,-0.34,0.66,,,0,3,False
IFF,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,26,83.0,28.8,149836299,2.03,72.8,2.98,트리거: 84.00 상향 돌파(20D High),84.00 돌파+거래량 동반 시,SMA50(69.62) 이탈 또는 Stop 78.05,"Vol 2.0x (강함), MACD 완만개선",,현재 Vol 2.03x,,,,,-0.17,0.83,,,0,3,False
WBD,Communication Services,WATCH_PULLBACK,WATCH_PULLBACK,35,27.99,99.3,644110339,0.57,46.2,1.74,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(28.13) 이탈 또는 Stop 27.02,"MACD 상향크로스, RSI 46",CROSS_UP,RSI 46.2 | ✅ 50~100조 선호,,,,,-0.23,0.77,,,1,4,False
LNC,Financial Services,WATCH_PULLBACK,WATCH_PULLBACK,35,40.88,11.4,79392698,1.28,48.4,3.53,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(42.89) 이탈 또는 Stop 38.00,"Vol 1.3x (약), MACD 상향크로스, RSI 48",CROSS_UP,RSI 48.4,,,,,-0.16,0.84,,,0,4,False
MET,Financial Services,WATCH_PULLBACK,WATCH_PULLBACK,26,77.31,75.2,324425345,0.74,50.4,2.88,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(78.86) 이탈 또는 Stop 72.86,"MACD 완만개선, RSI 50",,RSI 50.4 | ✅ 50~100조 선호,,,,,-0.27,0.73,,,1,4,False
NTR,Basic Materials,WATCH_PULLBACK,WATCH_PULLBACK,26,70.81,50.7,204561037,0.65,51.5,3.01,SMA20(69.81) 눌림 후 반등(확인필요),70.81 재돌파/거래량 동반 확인 후,SMA20(69.81) 이탈 또는 Stop 66.55,"MACD 완만개선, RSI 52",,FILTER: volume too weak (0.65x) | ✅ 50~100조 선호,,,,,-0.27,0.73,,,1,4,False
